RegionName,Year,AvgMonthlyRent
Dublin,2023,2946.341329
Dublin,2024,2978.756915
Dublin,2025,3054.72035
Dublin,2026,3057.004966
Novato,2019,2932.172475
Novato,2020,2967.789162
Novato,2021,3114.785864
Novato,2022,3336.91352
Novato,2023,3405.640623
Novato,2024,3588.16492
Novato,2025,3709.639782
Novato,2026,3710.225109
Danville,2016,3148.587492
Danville,2017,3241.541868
Danville,2018,3297.074321
Danville,2019,3418.51827
Danville,2020,3468.322791
Danville,2021,3721.225946
Danville,2022,3906.84606
Danville,2023,4016.828538
Danville,2024,4130.901588
Danville,2025,4258.81117
Danville,2026,4309.639805
Cupertino,2017,3060.169656
Cupertino,2018,3149.53061
Cupertino,2019,3221.33471
Cupertino,2020,3159.259089
Cupertino,2021,3113.767389
Cupertino,2022,3452.728884
Cupertino,2023,3533.700365
Cupertino,2024,3616.420918
Cupertino,2025,3798.958348
Cupertino,2026,3920.954481
Castro Valley,2019,2264.568785
Castro Valley,2020,2306.863106
Castro Valley,2021,2353.389333
Castro Valley,2022,2439.378797
Castro Valley,2023,2532.338481
Castro Valley,2024,2579.415373
Castro Valley,2025,2637.44707
Castro Valley,2026,2711.068887
Hollister,2022,2562.387897
Hollister,2023,2590.179301
Hollister,2024,2705.763532
Hollister,2025,2785.239005
Hollister,2026,2856.527778
Morgan Hill,2020,2831.739584
Morgan Hill,2021,2956.898538
Morgan Hill,2022,3149.250038
Morgan Hill,2023,3263.179186
Morgan Hill,2024,3387.623684
Morgan Hill,2025,3486.05378
Morgan Hill,2026,3573.865485
Martinez,2018,1760.256764
Martinez,2019,1816.753441
Martinez,2020,1912.577393
Martinez,2021,2012.85849
Martinez,2022,2169.092997
Martinez,2023,2219.268182
Martinez,2024,2291.700156
Martinez,2025,2360.400223
Martinez,2026,2408.287033
Newark,2018,2938.956169
Newark,2019,2972.979716
Newark,2020,2995.905907
Newark,2021,3001.05959
Newark,2022,3205.129951
Newark,2023,3323.935314
Newark,2024,3386.823791
Newark,2025,3472.624381
Newark,2026,3470.674582
San Pablo,2025,2067.295466
San Pablo,2026,2125.03598
Campbell,2017,2440.717651
Campbell,2018,2526.85514
Campbell,2019,2601.238253
Campbell,2020,2573.612303
Campbell,2021,2562.267355
Campbell,2022,2751.575644
Campbell,2023,2840.738569
Campbell,2024,2919.671767
Campbell,2025,2988.798387
Campbell,2026,3027.870169
Los Gatos,2016,2735.564218
Los Gatos,2017,2737.65347
Los Gatos,2018,2864.012658
Los Gatos,2019,2974.642647
Los Gatos,2020,2931.312486
Los Gatos,2021,2952.162761
Los Gatos,2022,3170.024314
Los Gatos,2023,3310.736816
Los Gatos,2024,3394.592925
Los Gatos,2025,3599.035332
Los Gatos,2026,3712.792106
San Bruno,2019,2821.368184
San Bruno,2020,2772.025161
San Bruno,2021,2660.470143
San Bruno,2022,2827.72081
San Bruno,2023,2885.822638
San Bruno,2024,2961.233032
San Bruno,2025,3079.526097
San Bruno,2026,3144.294
Menlo Park,2016,3213.935289
Menlo Park,2017,3205.922779
Menlo Park,2018,3317.161191
Menlo Park,2019,3449.1099
Menlo Park,2020,3373.290069
Menlo Park,2021,3264.930669
Menlo Park,2022,3501.971405
Menlo Park,2023,3531.582159
Menlo Park,2024,3718.587638
Menlo Park,2025,3903.40378
Menlo Park,2026,3913.547038
Oakley,2023,3025.633255
Oakley,2024,3112.787819
Oakley,2025,3143.57975
Oakley,2026,3208.506844
Pacifica,2019,3005.797942
Pacifica,2020,2986.704639
Pacifica,2021,2925.845805
Pacifica,2022,3101.558361
Pacifica,2023,3140.817572
Pacifica,2024,3198.407403
Pacifica,2025,3349.928785
Pacifica,2026,3482.21474
Pleasant Hill,2017,2083.732691
Pleasant Hill,2018,2135.807119
Pleasant Hill,2019,2213.116814
Pleasant Hill,2020,2273.609956
Pleasant Hill,2021,2388.391093
Pleasant Hill,2022,2528.557072
Pleasant Hill,2023,2544.425714
Pleasant Hill,2024,2617.262049
Pleasant Hill,2025,2699.459408
Pleasant Hill,2026,2701.481176
Los Altos,2019,5432.560572
Los Altos,2020,5369.007255
Los Altos,2021,5377.86926
Los Altos,2022,5773.237042
Los Altos,2023,5947.36505
Los Altos,2024,6238.259034
Los Altos,2025,6460.175244
Los Altos,2026,6684.242013
Foster City,2017,3090.419864
Foster City,2018,3117.41366
Foster City,2019,3257.251506
Foster City,2020,3179.528653
Foster City,2021,3101.528027
Foster City,2022,3421.390815
Foster City,2023,3473.772957
Foster City,2024,3566.972124
Foster City,2025,3739.540956
Foster City,2026,3817.655578
Saratoga,2020,4845.236086
Saratoga,2021,4965.03447
Saratoga,2022,5244.866258
Saratoga,2023,5461.943583
Saratoga,2024,5846.48388
Saratoga,2025,6012.499158
Saratoga,2026,5972.127991
Burlingame,2017,2830.07683
Burlingame,2018,2899.913451
Burlingame,2019,3039.197086
Burlingame,2020,3017.321246
Burlingame,2021,2898.344134
Burlingame,2022,3130.976093
Burlingame,2023,3183.621624
Burlingame,2024,3310.632935
Burlingame,2025,3481.128488
Burlingame,2026,3519.417167
San Carlos,2018,3100.039892
San Carlos,2019,3217.860501
San Carlos,2020,3191.32568
San Carlos,2021,3100.744547
San Carlos,2022,3335.97285
San Carlos,2023,3400.165883
San Carlos,2024,3521.168253
San Carlos,2025,3722.684167
San Carlos,2026,3833.566504
San Lorenzo,2026,2252.998924
Mill Valley,2019,2742.721329
Mill Valley,2020,2801.23065
Mill Valley,2021,2989.346514
Mill Valley,2022,3160.045972
Mill Valley,2023,3227.009956
Mill Valley,2024,3398.716856
Mill Valley,2025,3539.491674
Mill Valley,2026,3648.203295
Lafayette,2019,2763.626778
Lafayette,2020,2810.162471
Lafayette,2021,2959.84582
Lafayette,2022,3088.451443
Lafayette,2023,3039.646638
Lafayette,2024,3159.828416
Lafayette,2025,3218.486855
Lafayette,2026,3234.678719
Belmont,2018,2526.858838
Belmont,2019,2619.287674
Belmont,2020,2639.814243
Belmont,2021,2491.18312
Belmont,2022,2724.106617
Belmont,2023,2782.237332
Belmont,2024,2872.251167
Belmont,2025,3014.010385
Belmont,2026,3084.295779
East Palo Alto,2026,3947.5
El Cerrito,2021,2276.461184
El Cerrito,2022,2400.419151
El Cerrito,2023,2413.590292
El Cerrito,2024,2488.057522
El Cerrito,2025,2522.73011
El Cerrito,2026,2544.288427
Hercules,2021,2607.526239
Hercules,2022,2760.439661
Hercules,2023,2715.480328
Hercules,2024,2747.870893
Hercules,2025,2855.766665
Hercules,2026,2892.530922
Millbrae,2019,3107.369519
Millbrae,2020,3152.796399
Millbrae,2021,3096.332269
Millbrae,2022,3280.738693
Millbrae,2023,3478.459162
Millbrae,2024,3496.522061
Millbrae,2025,3594.403949
Millbrae,2026,3793.956234
Albany,2022,2558.649226
Albany,2023,2651.965348
Albany,2024,2643.055998
Albany,2025,2709.905113
Albany,2026,2762.687001
Half Moon Bay,2026,3916.666667
Moraga,2026,3925
San Anselmo,2026,3148.441556
Sausalito,2018,2983.207556
Sausalito,2019,3116.060994
Sausalito,2020,3237.396227
Sausalito,2021,3354.74567
Sausalito,2022,3522.938725
Sausalito,2023,3645.438066
Sausalito,2024,3762.886316
Sausalito,2025,3945.972496
Sausalito,2026,4062.476848
Emeryville,2019,2888.807305
Emeryville,2020,2766.584565
Emeryville,2021,2716.489367
Emeryville,2022,2887.601683
Emeryville,2023,2839.892159
Emeryville,2024,2781.016012
Emeryville,2025,2809.43455
Emeryville,2026,2874.181263
El Sobrante,2025,2280.995664
El Sobrante,2026,2335.68408
Corte Madera,2025,4759.352559
Corte Madera,2026,4872.72584
Tiburon,2025,4716.187811
Tiburon,2026,5041.205549
Fairfax,2026,3071.993232
Los Altos Hills,2026,15797.5
Larkspur,2023,3161.722487
Larkspur,2024,3226.104532
Larkspur,2025,3387.013051
Larkspur,2026,3498.841379
Brisbane,2026,3696.800215
